metric,mean,std,median,ci95_lo,ci95_hi,min,max
miou,0.6536,0.1619,0.5996,0.6487,0.6584,0.3233,0.9586
iou,0.3370,0.3372,0.3330,0.3270,0.3472,0.0000,0.9435
dice,0.4050,0.3952,0.4996,0.3931,0.4164,0.0000,0.9710
recall,0.4270,0.4208,0.5477,0.4147,0.4396,0.0000,1.0000
precision,0.4075,0.4057,0.4254,0.3955,0.4197,0.0000,1.0000
f2,0.4145,0.4046,0.5702,0.4025,0.4266,0.0000,0.9776
biou,0.0144,0.0197,0.0042,0.0138,0.0150,0.0000,0.1609
aacc,0.9726,0.0361,0.9870,0.9716,0.9737,0.6465,1.0000
macc,0.7066,0.2039,0.7600,0.7006,0.7127,0.4528,0.9959
