metric,mean,std,median,ci95_lo,ci95_hi,min,max
miou,0.6496,0.1618,0.5796,0.6449,0.6545,0.3233,0.9581
iou,0.3285,0.3365,0.2620,0.3184,0.3383,0.0000,0.9221
dice,0.3950,0.3948,0.4152,0.3832,0.4068,0.0000,0.9595
recall,0.4074,0.4132,0.3394,0.3952,0.4195,0.0000,0.9999
precision,0.4046,0.4095,0.4056,0.3927,0.4167,0.0000,1.0000
f2,0.3997,0.4013,0.3660,0.3880,0.4117,0.0000,0.9747
biou,0.0139,0.0195,0.0033,0.0133,0.0145,0.0000,0.1839
aacc,0.9730,0.0336,0.9869,0.9720,0.9740,0.6465,1.0000
macc,0.6979,0.2012,0.6591,0.6919,0.7038,0.4545,0.9967
