metric,mean,std,median,ci95_lo,ci95_hi,min,max
miou,0.6532,0.1631,0.6033,0.6485,0.6580,0.3180,0.9594
iou,0.3355,0.3392,0.3174,0.3253,0.3456,0.0000,0.9320
dice,0.4020,0.3973,0.4819,0.3901,0.4138,0.0000,0.9648
recall,0.4259,0.4257,0.4828,0.4131,0.4385,0.0000,1.0000
precision,0.4022,0.4062,0.3950,0.3900,0.4144,0.0000,1.0000
f2,0.4126,0.4082,0.5158,0.4005,0.4245,0.0000,0.9779
biou,0.0141,0.0196,0.0040,0.0135,0.0147,0.0000,0.1872
aacc,0.9734,0.0349,0.9865,0.9723,0.9744,0.6360,1.0000
macc,0.7067,0.2067,0.7268,0.7004,0.7129,0.4559,0.9957
