metric,mean,std,median,ci95_lo,ci95_hi,min,max
miou,0.6540,0.1619,0.6083,0.6492,0.6587,0.3233,0.9532
iou,0.3380,0.3374,0.3368,0.3278,0.3479,0.0000,0.9405
dice,0.4060,0.3954,0.5039,0.3941,0.4179,0.0000,0.9693
recall,0.4380,0.4292,0.6026,0.4253,0.4506,0.0000,1.0000
precision,0.3990,0.3989,0.4055,0.3877,0.4110,0.0000,0.9973
f2,0.4209,0.4090,0.6023,0.4088,0.4331,0.0000,0.9787
biou,0.0138,0.0187,0.0046,0.0132,0.0143,0.0000,0.1575
aacc,0.9725,0.0366,0.9863,0.9714,0.9736,0.6465,1.0000
macc,0.7115,0.2076,0.7905,0.7053,0.7177,0.4512,0.9956
