metric,mean,std,median,ci95_lo,ci95_hi,min,max
miou,0.6523,0.1608,0.6060,0.6475,0.6571,0.3886,0.9545
iou,0.3346,0.3356,0.3303,0.3246,0.3447,0.0000,0.9392
dice,0.4027,0.3942,0.4965,0.3910,0.4146,0.0000,0.9686
recall,0.4335,0.4277,0.5514,0.4204,0.4460,0.0000,1.0000
precision,0.3974,0.3991,0.3885,0.3853,0.4092,0.0000,1.0000
f2,0.4170,0.4077,0.5651,0.4050,0.4291,0.0000,0.9794
biou,0.0137,0.0188,0.0041,0.0131,0.0143,0.0000,0.1812
aacc,0.9726,0.0349,0.9862,0.9716,0.9736,0.7215,1.0000
macc,0.7096,0.2070,0.7643,0.7034,0.7158,0.4612,0.9961
