metric,mean,std,median,ci95_lo,ci95_hi,min,max
miou,0.6523,0.1607,0.6059,0.6475,0.6572,0.3886,0.9544
iou,0.3345,0.3355,0.3309,0.3243,0.3445,0.0000,0.9392
dice,0.4027,0.3942,0.4972,0.3909,0.4142,0.0000,0.9686
recall,0.4335,0.4278,0.5514,0.4210,0.4462,0.0000,1.0000
precision,0.3973,0.3990,0.3890,0.3855,0.4092,0.0000,1.0000
f2,0.4170,0.4077,0.5639,0.4049,0.4290,0.0000,0.9794
biou,0.0137,0.0187,0.0041,0.0131,0.0142,0.0000,0.1812
aacc,0.9726,0.0349,0.9862,0.9716,0.9736,0.7216,1.0000
macc,0.7096,0.2070,0.7643,0.7034,0.7157,0.4612,0.9961
