metric,mean,std,median,ci95_lo,ci95_hi,min,max
miou,0.6523,0.1607,0.6063,0.6476,0.6570,0.3886,0.9542
iou,0.3345,0.3354,0.3309,0.3245,0.3444,0.0000,0.9393
dice,0.4027,0.3941,0.4972,0.3912,0.4145,0.0000,0.9687
recall,0.4340,0.4281,0.5523,0.4212,0.4465,0.0000,1.0000
precision,0.3970,0.3986,0.3881,0.3849,0.4090,0.0000,1.0000
f2,0.4172,0.4078,0.5662,0.4053,0.4295,0.0000,0.9794
biou,0.0136,0.0187,0.0041,0.0131,0.0142,0.0000,0.1812
aacc,0.9726,0.0350,0.9862,0.9715,0.9736,0.7212,1.0000
macc,0.7097,0.2072,0.7645,0.7036,0.7158,0.4611,0.9961
