image,miou,iou,dice,recall,precision,f2,biou,aacc,macc
RipVIS-001_00003.jpg,0.8834981952090049,0.7946676887898928,0.8855875589154009,0.8291233421920248,0.9503043353023601,0.8508223913387886,0.01727447216559031,0.9750054253461643,0.9116983091079754
RipVIS-001_00004.jpg,0.8960952910896948,0.8158017765234614,0.8985581874310063,0.8651977311405221,0.9345944556221926,0.8782401778021146,0.011249030253830675,0.9786241319433826,0.9288791242579877
RipVIS-001_00005.jpg,0.8983274054457078,0.819595982429574,0.9008549044334854,0.8839872768016831,0.9183787664338524,0.8906579567096021,0.02055857253286296,0.9792241753461597,0.9372979215791144
RipVIS-001_00006.jpg,0.8874688741175514,0.79980021322627,0.8887655500302127,0.8619518860413447,0.9173010189929244,0.8724808305269798,0.019385796541384684,0.977383897568384,0.926426223991131
RipVIS-001_00007.jpg,0.8625407784309613,0.7546951464615543,0.8602008707705624,0.8083997772860568,0.9190951652861756,0.8283530678148547,0.01972775695014248,0.9728591579850555,0.9001014238423963
RipVIS-001_00008.jpg,0.8535172099729014,0.7376448129855703,0.8490167926990448,0.7790827919397161,0.9327441313835253,0.8056267677413946,0.021490259083854133,0.9718153211795011,0.8863609026726942
RipVIS-001_00009.jpg,0.8581569622847793,0.745629102501425,0.8542812461512754,0.7881273505296749,0.9325584071695687,0.8133201287447388,0.02244978337486219,0.9730045572906109,0.8908829952717647
RipVIS-001_00010.jpg,0.868791646769975,0.7641312882713278,0.8662975293863757,0.8042091344740874,0.9387749851961674,0.8279449866822759,0.03191072826313415,0.9755544704850525,0.8992400136795244
RipVIS-001_00011.jpg,0.8745757406082073,0.7746140508390126,0.8729943848610755,0.8282609423944486,0.9228357038747299,0.8455926788275725,0.019629425789831328,0.9765863715267181,0.9104041908548749
RipVIS-001_00012.jpg,0.887625601699609,0.7975863138776511,0.8873969585996048,0.8505191100872731,0.9276177440312622,0.8648962212708688,0.025227230564788122,0.9794715711794928,0.9217719358812209
RipVIS-001_00013.jpg,0.8845704853442595,0.7920064377597424,0.8839325809006141,0.8604350258677155,0.9087495537086345,0.8696825243473405,0.021844225600385993,0.9789659288183822,0.9257835014569998
RipVIS-001_00014.jpg,0.9003777318871052,0.8204553294150951,0.9013737565081633,0.9000094598323243,0.9027421956435295,0.9005546826193136,0.040400296508450645,0.9819270833322679,0.9451064703508227
RipVIS-001_00015.jpg,0.8931918386980411,0.8080072315159083,0.8938097341993941,0.9068420431649542,0.8811466953889051,0.901583779396794,0.03674585540305147,0.9801801215267142,0.9472256174974254
RipVIS-001_00016.jpg,0.8973949802191814,0.8151135776887034,0.8981405766647815,0.9088467027125471,0.8876837481594415,0.9045337687355433,0.028985507241315607,0.9813476562489352,0.9487034448402755
RipVIS-001_00017.jpg,0.8997064405488229,0.8192542635737683,0.9006484469789438,0.9119407101717062,0.8896324200274969,0.9073899948929184,0.03383856185515711,0.9817957899294902,0.9503429071692802
RipVIS-001_00018.jpg,0.9115505449603954,0.840018323194047,0.9130543023461611,0.9327353703656912,0.8941866273293431,0.9247619984748223,0.033928893695374676,0.9844628906239318,0.9610781048884856
RipVIS-001_00019.jpg,0.908308496584552,0.8340629981271855,0.9095249170599605,0.9217561750105853,0.8976140138822397,0.9168244065320346,0.026554856738896775,0.9839605034711546,0.9558394010947102
RipVIS-001_00020.jpg,0.9166491769991232,0.8488653156513253,0.9182554385821055,0.9470011629717817,0.8912034252893561,0.9352895737301015,0.0241581259106592,0.9856846788183748,0.968137465447299
RipVIS-001_00021.jpg,0.903840980278307,0.825700615164893,0.9045301385192529,0.9419592961175116,0.8699618311343837,0.9266219719865609,0.022443035802219798,0.983398437498933,0.9645663711424166
RipVIS-001_00022.jpg,0.8418344464564249,0.7164640030809287,0.8348138985669697,0.9370997315918114,0.7526599434314855,0.8933181001790993,0.015182995043122424,0.9697146267350589,0.954857345785595
RipVIS-001_00023.jpg,0.8859603577701041,0.7931998083720009,0.8846753213654714,0.947658890208388,0.8295420657637262,0.9214190884783858,0.018165784829247657,0.980326605901714,0.965405883180708
RipVIS-001_00024.jpg,0.8721102708794812,0.7684731269360859,0.869080920972184,0.9430800505337197,0.805849627933548,0.9120180225175204,0.015892002731392345,0.9775542534711615,0.9617956343879086
RipVIS-001_00025.jpg,0.8350030979895515,0.7037635127418023,0.8261281656504806,0.9521569718765356,0.7295622967347704,0.8973965505934816,0.018784530383775134,0.9687489149295044,0.9611545091918687
RipVIS-001_00026.jpg,0.8021963779218108,0.6467346241950277,0.7854752243533721,0.9431009957191594,0.6729939603037812,0.8730231884439645,0.019987208183564566,0.960704210068402,0.9526294359536933
RipVIS-001_00027.jpg,0.8772261981538931,0.7764931649556198,0.8741864931127028,0.9573815504913628,0.8042944785177388,0.9222729984354423,0.0244525547400634,0.9795269097211594,0.9693428665979098
RipVIS-001_00028.jpg,0.8992872503895555,0.8157495897789778,0.8985265307186713,0.973759755973599,0.8340846801973044,0.9422036399409739,0.0450804339608903,0.9840386284711544,0.9793013550113943
RipVIS-001_00029.jpg,0.954494564259728,0.9155375022346134,0.9559066331685728,0.9798042989897369,0.9331469514195098,0.9701032663420336,0.07768361580092192,0.9938856336794771,0.9873557723790973
RipVIS-001_00030.jpg,0.9215581500092569,0.8548689809187114,0.9217567275240078,0.9931756520415923,0.8599201602435557,0.9633199334850906,0.06476010397902147,0.9890082465267046,0.9909466402569037
RipVIS-001_00031.jpg,0.9001427483127156,0.8152326213031479,0.8982128370058663,0.9854138222873786,0.8251903094036703,0.9485776077191815,0.04427141267090736,0.9859776475683746,0.985714620665809
RipVIS-001_00032.jpg,0.8835908276766478,0.7839421906878367,0.8788874379226057,0.9922808203554901,0.7887523699925542,0.9435845963158891,0.047565374200278315,0.9842003038183765,0.9879928301523961
RipVIS-001_00033.jpg,0.8808102498525591,0.7781893636523488,0.8752603964000445,0.9591368923396518,0.8048741713303837,0.9237284115498436,0.04980919862426005,0.9843413628461541,0.972504793880046
RipVIS-001_00034.jpg,0.9138453201283421,0.838776974801162,0.9123205111831075,0.9683616254461866,0.8624109823961834,0.9451388079181257,0.07652091252934388,0.989518229165593,0.9795711825162804
RipVIS-001_00035.jpg,0.9019629533135427,0.8170762887785312,0.8993307477781062,0.9877141808297233,0.8254657582766868,0.9503550053901342,0.03287981858664857,0.9875792100683728,0.9876426791422452
RipVIS-001_00036.jpg,0.8669334118499479,0.7528310071840593,0.8589886921198294,0.9873844885913519,0.7601425852526941,0.9316800082937774,0.015883520843617136,0.9820713975683788,0.9845724220053016
RipVIS-001_00037.jpg,0.8406743713945356,0.705380882032702,0.8272414561044384,0.9673386707636281,0.7225905003354481,0.9059667837474524,0.008828596035997288,0.9772753906239395,0.972603127842434
RipVIS-001_00038.jpg,0.7237821141717626,0.5084950778745697,0.674175322588425,0.9997987596092315,0.5085471278439226,0.8379151628146589,0.008965259617301968,0.9426822916656438,0.9694399126443316
RipVIS-001_00039.jpg,0.74895698122394,0.5503554385007193,0.7099732420495055,0.9999999999820102,0.5503554385007193,0.8595484768826349,0.0027942717424390023,0.9507215711795239,0.9737792619645854
RipVIS-001_00040.jpg,0.8087792008143351,0.6528295010574006,0.7899538344877699,0.9411870946401578,0.6805936479586752,0.8742393509127789,0.01638760241959608,0.9669227430545063,0.9549654793047142
